Elapsed time [s],WLTP [km/h],WLTP Current [A],Current Adapted [A]
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0.2,0.01876499,0
13,1.7,1.215799389,-0.05
14,5.4,9.421223227,-0.4
15,9.9,21.79758317,-0.93
16,13.1,21.84706762,-0.93
17,16.9,33.21184735,-1.42
18,21.7,53.34734258,-2.28
19,26,58.17701039,-2.48
20,27.5,24.90480989,-1.06
21,28.1,13.40734388,-0.57
22,28.3,8.045316719,-0.34
23,28.8,12.38241723,-0.53
24,29.1,9.715435763,-0.41
25,30.8,30.78526504,-1.31
26,31.9,23.09794208,-0.99
27,34.1,41.88149371,-1.79
28,36.6,49.88944311,-2.13
29,39.1,53.2707298,-2.27
30,41.3,50.7417556,-2.16
31,42.5,33.47273109,-1.43
32,43.3,26.14295613,-1.11
33,43.9,22.30280006,-0.95
34,44.4,20.4527651,-0.87
35,44.5,11.87562154,-0.51
36,44.2,3.201821282,-0.14
37,42.7,-16.38916437,0.7
38,39.9,-35.42345174,1.51
39,37,-34.3409835,1.46
40,34.6,-25.44413799,1.09
41,32.3,-22.55927989,0.96
42,29,-31.18123702,1.33
43,25.1,-32.23948611,1.37
44,22.2,-20.47808214,0.87
45,20.9,-7.102062183,0.3
46,20.4,-0.996045226,0.08
47,19.5,-3.808325406,0.16
48,18.4,-4.953715192,0.21
49,17.8,-1.533889913,0.08
50,17.8,3.091059308,0
51,17.4,-0.250479328,0.08
52,15.7,-6.492941332,0.28
53,13.1,-6.269536518,0.27
54,12.1,-1.103223423,0.08
55,12,1.426550237,-0.06
56,12,2.015266086,-0.09
57,12,2.016028653,-0.09
58,12.3,3.837007816,-0.16
59,12.6,3.936833551,-0.17
60,14.7,17.14386132,-0.73
61,15.3,7.030763138,-0.3
62,15.9,7.310566684,-0.31
63,16.2,5.126372779,-0.22
64,17.1,10.33943747,-0.44
65,17.8,9.081385805,-0.39
66,18.1,5.767570683,-0.25
67,18.4,5.868310171,-0.25
68,20.3,22.06240776,-0.94
69,23.2,36.42372397,-1.55
70,26.5,46.66184515,-1.99
71,29.8,52.14605763,-2.22
72,32.6,49.16866587,-2.1
73,34.4,36.00727627,-1.54
74,35.5,25.93507752,-1.11
75,36.4,23.2071877,-0.99
76,37.4,25.7343975,-1.1
77,38.5,28.33718441,-1.21
78,39.3,23.38822363,-1
79,39.5,12.03398231,-0.51
80,39,-1.03653105,0.08
81,38.5,-1.051956195,0.08
82,37.3,-10.5744276,0.45
83,37,2.130340618,-0.09
84,36.7,2.092316759,-0.09
85,35.9,-5.032280872,0.21
86,35.3,-2.410266526,0.1
87,34.6,-3.65404324,0.16
88,34.2,0.137102468,0
89,31.9,-22.2942631,0.95
90,27.3,-42.29686365,1.62
91,22,-39.63919028,1.62
92,17,-27.66369108,1.18
93,14.2,-9.071867881,0.39
94,12,-3.264323125,0.14
95,9.1,-1.13E-09,0
96,5.8,-2.03E-14,0
97,3.6,-1.27E-14,0
98,2.2,-7.71E-15,0
99,0,-1.61E-15,0
100,0,-2.74E-16,0
101,0,-1.15E-16,0
102,0,-6.37E-17,0
103,0,-3.98E-17,0
104,0,-2.65E-17,0
105,0,-1.83E-17,0
106,0,-1.30E-17,0
107,0,-9.38E-18,0
108,0,-6.83E-18,0
109,0,-5.03E-18,0
110,0,-3.73E-18,0
111,0,-2.77E-18,0
112,0,-2.07E-18,0
113,0,-1.54E-18,0
114,0,-1.16E-18,0
115,0,-8.66E-19,0
116,0,-6.49E-19,0
117,0,-4.89E-19,0
118,0,-3.67E-19,0
119,0,-2.75E-19,0
120,0,-2.07E-19,0
