model,MATR1,MATR2,HUST,SNL,CLO,CRUH,CRUSH,MIX
Dummy regressor,398,510,419,466,331,239,576,573
"Variance" model,136,211,398,360,179,118,506,521
"Discharge" model,329,149,322,267,143,76,>1000,>1000
"Full" model,167,>1000,335,433,138,93,>1000,331
Ridge regression,116,184,>1000,242,169,65,>1000,372
PCR,90,187,435,200,197,68,560,376
PLSR,104,181,431,242,176,60,535,383
Gaussian process,154,224,>1000,251,204,115,>1000,573
XGBoost,334,799,395,547,215,119,330,205
Random forest,168±9,233±7,368±7,532±25,192±2,81±1,416±5,197±0
MLP,149±3,275±27,459±9,370±81,146±5,103±4,565±9,451±42
CNN,102±94,228±104,465±75,924±267,>1000,174±92,545±11,272±101
LSTM,119±11,219±33,443±29,539±40,222±12,105±10,519±39,268±9
Transformer,135±13,364±25,391±11,424±23,187±14,81±8,550±21,271±16
